timestamp,zone,forecast
2014/01/01 00:00:00,CAPITL,1255
2014/01/01 01:00:00,CAPITL,1199
2014/01/01 02:00:00,CAPITL,1152
2014/01/01 03:00:00,CAPITL,1132
2014/01/01 04:00:00,CAPITL,1118
2014/01/01 05:00:00,CAPITL,1167
2014/01/01 06:00:00,CAPITL,1197
2014/01/01 07:00:00,CAPITL,1201
2014/01/01 08:00:00,CAPITL,1229
2014/01/01 09:00:00,CAPITL,1287
2014/01/01 10:00:00,CAPITL,1335
2014/01/01 11:00:00,CAPITL,1369
2014/01/01 12:00:00,CAPITL,1378
2014/01/01 13:00:00,CAPITL,1373
2014/01/01 14:00:00,CAPITL,1363
2014/01/01 15:00:00,CAPITL,1384
2014/01/01 16:00:00,CAPITL,1484
2014/01/01 17:00:00,CAPITL,1612
2014/01/01 18:00:00,CAPITL,1618
2014/01/01 19:00:00,CAPITL,1583
2014/01/01 20:00:00,CAPITL,1546
2014/01/01 21:00:00,CAPITL,1456
2014/01/01 22:00:00,CAPITL,1349
2014/01/01 23:00:00,CAPITL,1243
2014/01/02 00:00:00,CAPITL,1247
2014/01/02 01:00:00,CAPITL,1216
2014/01/02 02:00:00,CAPITL,1207
2014/01/02 03:00:00,CAPITL,1204
2014/01/02 04:00:00,CAPITL,1230
2014/01/02 05:00:00,CAPITL,1292
2014/01/02 06:00:00,CAPITL,1425
2014/01/02 07:00:00,CAPITL,1530
2014/01/02 08:00:00,CAPITL,1553
2014/01/02 09:00:00,CAPITL,1562
2014/01/02 10:00:00,CAPITL,1571
2014/01/02 11:00:00,CAPITL,1570
2014/01/02 12:00:00,CAPITL,1553
2014/01/02 13:00:00,CAPITL,1544
2014/01/02 14:00:00,CAPITL,1536
2014/01/02 15:00:00,CAPITL,1538
2014/01/02 16:00:00,CAPITL,1613
2014/01/02 17:00:00,CAPITL,1759
2014/01/02 18:00:00,CAPITL,1753
2014/01/02 19:00:00,CAPITL,1719
2014/01/02 20:00:00,CAPITL,1677
2014/01/02 21:00:00,CAPITL,1587
2014/01/02 22:00:00,CAPITL,1484
2014/01/02 23:00:00,CAPITL,1380
2014/01/03 00:00:00,CAPITL,1351
2014/01/03 01:00:00,CAPITL,1336
2014/01/03 02:00:00,CAPITL,1335
2014/01/03 03:00:00,CAPITL,1336
2014/01/03 04:00:00,CAPITL,1357
2014/01/03 05:00:00,CAPITL,1433
2014/01/03 06:00:00,CAPITL,1594
2014/01/03 07:00:00,CAPITL,1713
2014/01/03 08:00:00,CAPITL,1737
2014/01/03 09:00:00,CAPITL,1738
2014/01/03 10:00:00,CAPITL,1736
2014/01/03 11:00:00,CAPITL,1728
2014/01/03 12:00:00,CAPITL,1711
2014/01/03 13:00:00,CAPITL,1685
2014/01/03 14:00:00,CAPITL,1669
2014/01/03 15:00:00,CAPITL,1657
2014/01/03 16:00:00,CAPITL,1717
2014/01/03 17:00:00,CAPITL,1859
2014/01/03 18:00:00,CAPITL,1862
2014/01/03 19:00:00,CAPITL,1833
2014/01/03 20:00:00,CAPITL,1797
2014/01/03 21:00:00,CAPITL,1724
2014/01/03 22:00:00,CAPITL,1632
2014/01/03 23:00:00,CAPITL,1533
2014/01/04 00:00:00,CAPITL,1459
2014/01/04 01:00:00,CAPITL,1410
2014/01/04 02:00:00,CAPITL,1396
2014/01/04 03:00:00,CAPITL,1383
2014/01/04 04:00:00,CAPITL,1370
2014/01/04 05:00:00,CAPITL,1403
2014/01/04 06:00:00,CAPITL,1500
2014/01/04 07:00:00,CAPITL,1616
2014/01/04 08:00:00,CAPITL,1673
2014/01/04 09:00:00,CAPITL,1691
2014/01/04 10:00:00,CAPITL,1680
2014/01/04 11:00:00,CAPITL,1666
2014/01/04 12:00:00,CAPITL,1633
2014/01/04 13:00:00,CAPITL,1603
2014/01/04 14:00:00,CAPITL,1582
2014/01/04 15:00:00,CAPITL,1565
2014/01/04 16:00:00,CAPITL,1616
2014/01/04 17:00:00,CAPITL,1758
2014/01/04 18:00:00,CAPITL,1763
2014/01/04 19:00:00,CAPITL,1730
2014/01/04 20:00:00,CAPITL,1680
2014/01/04 21:00:00,CAPITL,1602
2014/01/04 22:00:00,CAPITL,1511
2014/01/04 23:00:00,CAPITL,1422
2014/01/05 00:00:00,CAPITL,1332
2014/01/05 01:00:00,CAPITL,1305
2014/01/05 02:00:00,CAPITL,1296
2014/01/05 03:00:00,CAPITL,1286
2014/01/05 04:00:00,CAPITL,1268
2014/01/05 05:00:00,CAPITL,1275
2014/01/05 06:00:00,CAPITL,1346
2014/01/05 07:00:00,CAPITL,1443
2014/01/05 08:00:00,CAPITL,1491
2014/01/05 09:00:00,CAPITL,1521
2014/01/05 10:00:00,CAPITL,1529
2014/01/05 11:00:00,CAPITL,1541
2014/01/05 12:00:00,CAPITL,1526
2014/01/05 13:00:00,CAPITL,1522
2014/01/05 14:00:00,CAPITL,1510
2014/01/05 15:00:00,CAPITL,1510
2014/01/05 16:00:00,CAPITL,1565
2014/01/05 17:00:00,CAPITL,1670
2014/01/05 18:00:00,CAPITL,1662
2014/01/05 19:00:00,CAPITL,1622
2014/01/05 20:00:00,CAPITL,1563
2014/01/05 21:00:00,CAPITL,1485
2014/01/05 22:00:00,CAPITL,1398
2014/01/05 23:00:00,CAPITL,1313
2014/01/06 00:00:00,CAPITL,1208
2014/01/06 01:00:00,CAPITL,1149
2014/01/06 02:00:00,CAPITL,1125
2014/01/06 03:00:00,CAPITL,1122
2014/01/06 04:00:00,CAPITL,1168
2014/01/06 05:00:00,CAPITL,1213
2014/01/06 06:00:00,CAPITL,1350
2014/01/06 07:00:00,CAPITL,1451
2014/01/06 08:00:00,CAPITL,1471
2014/01/06 09:00:00,CAPITL,1491
2014/01/06 10:00:00,CAPITL,1510
2014/01/06 11:00:00,CAPITL,1524
2014/01/06 12:00:00,CAPITL,1525
2014/01/06 13:00:00,CAPITL,1526
2014/01/06 14:00:00,CAPITL,1522
2014/01/06 15:00:00,CAPITL,1521
2014/01/06 16:00:00,CAPITL,1574
2014/01/06 17:00:00,CAPITL,1672
2014/01/06 18:00:00,CAPITL,1683
2014/01/06 19:00:00,CAPITL,1656
2014/01/06 20:00:00,CAPITL,1604
